congress,chamber,rollnumber,icpsr,cast_code,prob
116,Senate,3,21501,1,98.8
116,Senate,3,21743,6,85.2
116,Senate,3,29142,6,99.9
116,Senate,3,29147,6,100.0
116,Senate,3,29345,9,99.9
116,Senate,3,29373,6,99.8
116,Senate,3,29386,1,94.9
116,Senate,3,29389,6,100.0
116,Senate,3,29534,1,99.9
116,Senate,3,29548,9,98.7
116,Senate,3,29566,1,97.0
116,Senate,3,29722,9,99.8
116,Senate,3,29732,6,99.3
116,Senate,3,29735,1,99.9
116,Senate,3,29754,1,99.6
116,Senate,3,29909,9,98.8
116,Senate,3,29924,6,99.9
116,Senate,3,29935,1,96.1
116,Senate,3,29940,6,100.0
116,Senate,3,39310,6,99.8
116,Senate,3,40300,1,83.6
116,Senate,3,40304,1,95.2
116,Senate,3,40305,1,99.2
116,Senate,3,40700,6,99.5
116,Senate,3,40702,6,82.1
116,Senate,3,40703,6,95.2
116,Senate,3,40704,6,99.9
116,Senate,3,40707,1,99.9
116,Senate,3,40902,1,100.0
116,Senate,3,40906,6,97.3
116,Senate,3,40908,6,100.0
116,Senate,3,40909,6,89.8
116,Senate,3,40910,6,95.5
116,Senate,3,40915,1,92.8
116,Senate,3,40916,6,97.0
116,Senate,3,41101,6,100.0
116,Senate,3,41102,1,96.4
116,Senate,3,41104,1,89.7
116,Senate,3,41107,1,99.9
116,Senate,3,41110,1,90.6
116,Senate,3,41111,1,96.2
116,Senate,3,41112,6,100.0
116,Senate,3,41300,6,90.8
116,Senate,3,41301,6,100.0
116,Senate,3,41302,1,99.9
116,Senate,3,41304,1,94.4
116,Senate,3,41305,6,95.7
116,Senate,3,41308,6,100.0
116,Senate,3,41500,1,99.6
116,Senate,3,41501,9,98.6
116,Senate,3,41502,1,99.2
116,Senate,3,41503,1,95.7
116,Senate,3,41504,1,99.4
116,Senate,3,41505,1,99.3
116,Senate,3,41700,6,96.8
116,Senate,3,41701,6,100.0
116,Senate,3,41702,6,95.6
116,Senate,3,41703,1,99.9
116,Senate,3,41705,1,65.2
116,Senate,3,41706,6,99.9
116,Senate,3,41707,1,99.8
116,Senate,3,41900,1,99.9
116,Senate,3,41901,1,95.4
116,Senate,3,41902,1,100.0
116,Senate,3,41903,1,99.7
116,Senate,3,49300,6,98.8
116,Senate,3,49308,6,99.9
116,Senate,3,49703,1,47.0
116,Senate,3,49706,1,99.8
116,Senate,3,94659,1,100.0
116,Senate,4,14226,1,64.1
116,Senate,4,14307,6,99.5
116,Senate,4,14435,6,99.7
116,Senate,4,14852,1,71.3
116,Senate,4,14858,6,99.5
116,Senate,4,14871,6,99.3
116,Senate,4,14921,1,74.1
116,Senate,4,15015,6,97.7
116,Senate,4,15021,6,99.5
116,Senate,4,15408,6,99.3
116,Senate,4,15424,1,86.5
116,Senate,4,20101,6,16.6
116,Senate,4,20146,1,57.5
116,Senate,4,20330,6,99.6
116,Senate,4,20351,1,90.9
116,Senate,4,20707,6,99.0
116,Senate,4,20713,6,99.8
116,Senate,4,20735,9,99.7
116,Senate,4,20919,1,75.2
116,Senate,4,20923,6,98.8
116,Senate,4,20930,6,99.2
116,Senate,4,21112,6,22.3
116,Senate,4,21133,1,80.6
116,Senate,4,21166,1,90.6
116,Senate,4,21173,1,88.7
116,Senate,4,21300,6,93.7
116,Senate,4,21301,6,11.0
116,Senate,4,21325,6,99.2
116,Senate,4,21338,6,18.1
116,Senate,4,21350,1,84.2
116,Senate,4,21501,6,31.7
116,Senate,4,21743,6,98.1
116,Senate,4,29142,6,99.5
116,Senate,4,29147,6,99.7
116,Senate,4,29345,1,91.0
116,Senate,4,29373,6,99.5
116,Senate,4,29386,1,60.1
116,Senate,4,29389,6,99.7
116,Senate,4,29534,1,85.1
116,Senate,4,29548,1,76.5
116,Senate,4,29566,1,67.2
116,Senate,4,29722,6,16.8
116,Senate,4,29732,6,99.3
116,Senate,4,29735,1,86.5
116,Senate,4,29754,1,80.2
116,Senate,4,29909,1,73.5
116,Senate,4,29924,6,99.6
116,Senate,4,29935,1,80.3
116,Senate,4,29940,6,99.8
116,Senate,4,39310,6,99.2
116,Senate,4,40300,1,34.2
